Company Name,Website,Industry,City,State,Employee Count,Revenue Estimate,Owner,Email,Phone
Reyes Comfort Heating & Air,reyescomfort.test,HVAC,Phoenix,AZ,,$5M-$10M,,,
Summit Ridge Plumbing,https://summitridgeplumbing.test,Plumbing,Denver,CO,25,$3M-$5M,Dale Hughes,,303-555-0199
Brightline Managed IT,brightlineit.test,IT Services,Austin,TX,51-100,$10M-$20M,,,
Oakhaven Landscaping,www.oakhavenlandscaping.test,Landscaping,Charlotte,NC,11-50,$1M-$3M,,,
Precision Edge Machining,precisionedgemfg.test,Manufacturing,Cleveland,OH,85,$10M-$20M,,,
Harbor Point Pest Control,harborpointpest.test,Pest Control,Tampa,FL,22,$1M-$3M,,,
Keystone Commercial Cleaning,keystoneclean.test,Commercial Cleaning,Pittsburgh,PA,120,$5M-$10M,,,
Lumen Digital Studio,lumendigital.test,Marketing Agency,Brooklyn,NY,9,$1M-$3M,,,
Cedar & Stone Accounting,cedarstonecpa.test,Accounting,Madison,WI,14,$1M-$3M,,,
Delta Freight Lines,deltafreightlines.test,Logistics,Memphis,TN,210,$20M-$50M,,,
Northwind Roofing,northwindroofing.test,Roofing,Minneapolis,MN,35,$3M-$5M,,,
Valley Auto Repair,,Auto Repair,Fresno,CA,8,$500K-$1M,Luis Moreno,valleyautofresno@gmail.com,(559) 555-0187
Old Town Electric,oldtownelectric.test,Electrical,Richmond,VA,12,$1M-$3M,,,
Reyes Comfort Heating and Air LLC,https://www.reyescomfort.test/,HVAC,Phoenix,AZ,42,,,,(602) 555-0141
"Summit Ridge Plumbing, Inc.",SummitRidgePlumbing.test,Plumbing,Denver,CO,,,,,
,nameless.test,,,,,,,,
